org_name,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
WP_053248237.1,0.512997401,0.551150361,0.752319176,0.877788287,0.860694323,0.980061035,0.868801942,0.740481252,0.670155904,0.607178793,0.543637839,0.530376638,0.565097929,0.747655473,0.884582654
WP_025427927.1,0.403593888,0.571262336,0.809385685,0.933990415,0.958017314,1,0.915051686,0.693063197,0.642689869,0.555190628,0.505161484,0.470303828,0.432368923,0.426295256,0.420638198
WP_077504804.1,0.723421817,0.766846254,0.853598029,0.905021567,0.905881602,0.977392494,0.942493601,0.865352883,0.855768377,0.815627921,0.76019063,0.752013613,0.749600155,0.773395094,0.817935259
WP_153493080.1,0.832751577,0.815073876,0.796389834,0.82678823,0.929261263,0.939186365,0.917952388,0.864224095,0.821537519,0.804881664,0.785809497,0.807997444,0.743456138,0.753199916,0.759325713
WP_011976119.1,0.894440927,0.918394896,0.918383563,0.935039218,0.951758748,0.975398179,0.968630262,0.98043741,0.925685647,0.884771708,0.88122901,0.862298729,0.867055917,0.840394411,0.854464478
WP_018011911.1,0.884189848,0.935102489,0.929447425,0.939888224,0.932230756,0.973468191,0.978188786,0.956073595,0.932324821,0.934282166,0.89059923,0.901894168,0.870098107,0.870081062,0.869749233
WP_153317729.1,0.87791411,0.911919361,0.902430255,0.918776576,0.931894651,0.94267883,0.939829473,0.983356456,0.880683233,0.88256885,0.869747185,0.839194167,0.82037995,0.853681499,0.839137308
WP_024324795.1,0.780297468,0.848315701,0.850795901,0.861989726,0.949608533,0.925401816,0.885567083,0.897683859,0.844469205,0.839169609,0.80830137,0.768663342,0.77807545,0.772070243,0.769601773
WP_100671634.1,0.833690281,0.894246006,0.882216195,0.915334854,0.972390556,0.962861356,0.945740262,0.903384426,0.893813,0.862062416,0.851255825,0.846166131,0.821734028,0.839883113,0.81527648
WP_027990079.1,0.81568533,0.802832949,0.816878125,0.815673884,0.937118482,0.934394107,0.877917992,0.884246889,0.805495323,0.833144453,0.772347863,0.756937156,0.758027264,0.726257303,0.740109652
WP_003533820.1,0.715411539,0.769149302,0.77420758,0.834011462,0.889328409,0.961289574,0.938378087,0.904937766,0.872690069,0.818644145,0.77416507,0.748651519,0.755115904,0.806297257,0.823110706
PLT99482.1,0.747838282,0.741162378,0.804807209,0.822438865,0.91010905,0.969378416,0.953220742,0.878975108,0.854640704,0.832552237,0.792380396,0.781169946,0.76620517,0.818085978,0.863843056
WP_028000883.1,0.117287256,0.719906319,0.918057018,0.988282172,0.996772179,0.970395756,0.857325862,0.633148579,0.488551671,0.336971004,0.214170512,0.142706692,0.103753353,0.082641529,0.064907276
WP_018095374.1,0.779396584,0.778938577,0.792606518,0.819628559,0.960803088,0.842321503,0.868254366,0.895633362,0.809418213,0.758596594,0.758629161,0.735216763,0.712041752,0.704699116,0.770516011
WP_064243090.1,0.759232552,0.700687032,0.758665194,0.782017339,0.833216397,0.950443642,0.948616534,0.914110263,0.85149139,0.823819722,0.774897916,0.769074789,0.782701933,0.87979323,0.942339875
